account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
SoFi,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/sofi/,
Sofitel Sydney Wentworth,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Sofitel_Sydney_Wentworth,https://en.wikipedia.org/wiki/Sofitel_Sydney_Wentworth
Software AG,1,Silver Lake,silver-lake,no,official_site|wikipedia,https://www.silverlake.com/portfolio/software-ag/,https://en.wikipedia.org/wiki/Software_AG
SolarCity,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/solarcity/,
Solenis,1,Platinum Equity,platinum-equity,yes,geig_article,,
Solera,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/solera/,
Solera Holdings,1,Vista Equity Partners,vista-equity,no,geig_article|wikipedia,https://en.wikipedia.org/wiki/Solera_Holdings,https://en.wikipedia.org/wiki/Solera_Holdings
Solides,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/solides/,
Solifi,1,Thoma Bravo,thoma-bravo,no,official_site,,
Sonatype,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/sonatype/,
Sonny’s Enterprises,1,Genstar Capital,genstar-capital,yes,official_site,,
Sonos,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Sonos,https://en.wikipedia.org/wiki/Sonos
Sophos,1,Thoma Bravo,thoma-bravo,no,official_site|wikipedia,https://en.wikipedia.org/wiki/Sophos,https://en.wikipedia.org/wiki/Sophos
Source Photonics,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/source-photonics,
SourceNet Solutions,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/sourcenet-solutions/,
Sourcescrub,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/sourcescrub,
South Staffordshire Water,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/South_Staffordshire_Water,https://en.wikipedia.org/wiki/South_Staffordshire_Water
Southern Cross Healthcare (United Kingdom),1,Blackstone,blackstone,yes,wikipedia,https://en.wikipedia.org/wiki/Southern_Cross_Healthcare_%28United_Kingdom%29,https://en.wikipedia.org/wiki/Southern_Cross_Healthcare_%28United_Kingdom%29
Sovos,1,Hg,hg,no,official_site,,
Sovos Compliance,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/sovos-compliance/,
Spalding (company),1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Spalding_%28company%29,https://en.wikipedia.org/wiki/Spalding_%28company%29
Spansion,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/spansion/,
Spanx,1,Blackstone,blackstone,yes,wikipedia,https://en.wikipedia.org/wiki/Spanx,https://en.wikipedia.org/wiki/Spanx
Spark Infrastructure,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Spark_Infrastructure,https://en.wikipedia.org/wiki/Spark_Infrastructure
Sparta Systems,1,Thoma Bravo,thoma-bravo,no,official_site,,
Specialist Risk Group,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/specialist-risk-group/,
Specific Media,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/specific-media,
Spectris,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Spectris,https://en.wikipedia.org/wiki/Spectris
